	Word	PoS	Freq
	woman	NoC	232
	England	NoP	231
	city	NoC	231
	community	NoC	231
	only	Adj	231
	including	Prep	230
	centre	NoC	230
	gave	Verb	229
	job	NoC	229
	among	Prep	229
	position	NoC	228
	effect	NoC	228
	likely	Adj	227
	real	Adj	227
	clear	Adj	227
	staff	NoC	226
	black	Adj	225
	kind	NoC	225
	read	Verb	225
	provide	Verb	223
	particular	Adj	223
	became	Verb	223
	line	NoC	221
	moment	NoC	221
	international	Adj	221
	action	NoC	221
	special	Adj	220
	difficult	Adj	220
	certain	Adj	220
	particularly	Adv	220
	either	Adv	220
	open	Adj	219
	management	NoC	218
	taking	Verb	218
	across	Prep	217
	idea	NoC	217
	further*	Adj	216
	whole	Adj	216
	age	NoC	216
	process	NoC	215
	act	NoC	215
	around	Adv	215
	evidence	NoC	215
	view	NoC	214
	better	Adj	214
	off	Prep	214
	mind	NoC	213
	sense	NoC	213
	rather	Adv	213
	seems	Verb	212
	believe	Verb	212
	morning	NoC	211
	third	Ord	211
	else	Adv	209
	half	DetP	209
	white	Adj	206
	death	NoC	205
	sometimes	Adv	205
	thus	Adv	205
	brought	Verb	204
	getting	Verb	203
	church	NoC	203
	ten	Num	203
	shall	VMod	202
	try	Verb	202
	behind	Prep	202
	heard	Verb	202
	God	NoP	202
	table	NoC	201
	change	NoC	201
	4	Num	201
	support	NoC	201
	back	NoC	200
	sort	NoC	199
	Mrs	NoC	198
	whose	DetP	198
	industry	NoC	198
	ago	Adv	198
	free	Adj	198
	care	NoC	198
	so that	Conj	197
	order	NoC	197
	century	NoC	197
	range	NoC	196
	European	Adj	195
	gone	Verb	195
	yesterday	Adv	195
	training	NoC	194
	working	Verb	194
	ask	Verb	194
	street	NoC	194
	home	Adv	194
	word	NoC	193
	groups	NoC	193
	history	NoC	193
	central	Adj	193
	all	Adv	193
	study	NoC	192
	usually	Adv	191
	remember	Verb	191
	trade	NoC	191
	hundred	NoC	191
	programme	NoC	190
	food	NoC	190
	committee	NoC	190
	air	NoC	189
	hours	NoC	189
	experience	NoC	189
	rate	NoC	189
	hands	NoC	188
	indeed	Adv	188
	sir	NoC	188
	language	NoC	188
	land	NoC	188
	result	NoC	187
	course	NoC	187
	someone	Pron	187
	everything	Pron	187
	certainly	Adv	186
	based	Verb	186
	team	NoC	186
	section	NoC	186
	10	Num	186
	leave	Verb	185
	trying	Verb	185
	coming	Verb	185
	similar	Adj	184
	once	Adv	183
	minutes	NoC	183
	authority	NoC	183
	human	Adj	183
	changes	NoC	183
	little	DetP	183
	cases	NoC	183
	common	Adj	182
	role	NoC	182
	data/datum	NoC	182
	true	Adj	181
	Europe	NoP	181
	necessary	Adj	181
	nature	NoC	181
	class	NoC	181
	reason	NoC	181
	long	Adv	181
	saying	Verb	180
	town	NoC	180
	show	Verb	180
	subject	NoC	179
	voice	NoC	179
	companies	NoC	178
	since	Prep	178
	because of	Prep	178
	simply	Adv	177
	especially	Adv	177
	B / b	Lett	177			
	department	NoC	177
	single	Adj	177
	short	Adj	177
	personal	Adj	176
	as well as	Prep	176
	5	Num	176
	pay	Verb	175
	value	NoC	175
	member	NoC	175
	started	Verb	175
	run	Verb	174
	patients	NoC	173
	paper	NoC	173
	private	Adj	173
	seven	Num	173
	UK	NoP	173
	eight	Num	173
	systems	NoC	173
	herself	Pron	172
	practice	NoC	171
	wife	NoC	171
	price	NoC	170
	type	NoC	170
	seem	Verb	170
	figure	NoC	170
	former	DetP	170
	rather than	Prep	169
	lost	Verb	169
	right	NoC	169
	need	NoC	169
	matter	NoC	168
	decision	NoC	168
	bank	NoC	168
	countries	NoC	168
	until	Prep	167
	makes	Verb	166
	union	NoC	166
	terms	NoC	165
	financial	Adj	165
	needed	Verb	165
	south	NoC	165
	university	NoC	164
	club	NoC	164
	president	NoC	164
	friend	NoC	164
	parents	NoC	163
	quality	NoC	163
	cos*	Conj	163
	building	NoC	163
	north	NoC	163
	stage	NoC	162
	meeting	NoC	162
	wo~	VMod	161
	foreign	Adj	161
	soon	Adv	161
	strong	Adj	160
	situation	NoC	160
	comes	Verb	160
	late	Adj	159
	bed	NoC	159
	recent	Adj	158
	date	NoC	158
	low	Adj	158
	US	NoP	158
	concerned	Adj	158
	girl	NoC	158
	hard	Adj	157
	American	Adj	157
	David	NoP	157
	according to	Prep	157
	as if	Conj	157
	twenty	Num	156
	higher	Adj	156
	tax	NoC	156
	used (to)	VMod	156
	production	NoC	156
	various	Adj	155
	understand	Verb	155
	led	Verb	154
	bring	Verb	154
	schools	NoC	154
	ground	NoC	154
	conditions	NoC	154
	secretary	NoC	154
	weeks	NoC	154
	clearly	Adv	153
	bad	Adj	153
	art	NoC	153
	start	Verb	153
	up to	Prep	152
	include	Verb	152
	poor	Adj	151
	hospital	NoC	151
	friends	NoC	151
	decided	Verb	151
	~na*	Inf	150
	shown	Verb	150
	music	NoC	150
	month	NoC	150
	English	Adj	150
	tried	Verb	150
	game	NoC	150
	1990	Num	150
	May	NoP	150
	anyone	Pron	150
	wrong	Adj	149
	ways	NoC	149
	chapter	NoC	149
	followed	Verb	149
	cost	NoC	149
	play	Verb	149
	present	Adj	148
	love	NoC	148
	issue	NoC	148
	at all	Adv	148
	goes	Verb	148
	described	Verb	148
	more than*	Adv	148
	award	NoC	148
	Mr.	NoC	148		
	king	NoC	147
	royal	Adj	147
	results	NoC	147
	workers	NoC	147
	April	NoP	147
	expected	Verb	146
	amount	NoC	146
	students	NoC	146
	despite	Prep	146
	knowledge	NoC	146
	June	NoP	146
	moved	Verb	146
	news	NoC	145
	light	NoC	145
	March	NoP	145
	approach	NoC	145
	lord	NoC	145
	p.	NoC	145		
	cut	Verb	145
	basis	NoC	145
	hair	NoC	144
	required	Verb	144
	further	Adv	144
	paid	Verb	144
	series	NoC	144
	better	Adv	143
	before	Adv	143
	field	NoC	143
	allowed	Verb	143
	easy	Adj	143
	kept	Verb	143
	questions	NoC	143
	natural	Adj	142
	live	Verb	142
	future	NoC	142
	rest	NoC	142
	project	NoC	141
	greater	Adj	141
	feet	NoC	141
	meet	Verb	141
	simple	Adj	140
	died	Verb	140
	for	Conj	139
	happened	Verb	139
	added	Verb	139
	C / c	Lett	138
	manager	NoC	138
	computer	NoC	138
	security	NoC	138
	near	Prep	138
	met	Verb	138
	evening	NoC	138
	means	Verb	138
	round	Adv	138
	carried	Verb	138
	hear	Verb	137
	bit*	NoC	137
	heart	NoC	137
	forward	Adv	137
	sent	Verb	137
	above	Prep	137
	attention	NoC	137
	labour*	NoC	137
	story	NoC	137
	structure	NoC	137
	move	Verb	136
	agreed	Verb	136
	nine	Num	136
	&	Conj	136
	letter	NoC	136
	individual	Adj	136
	force	NoC	136
	studies	NoC	136
	movement	NoC	135
	account	NoC	135
	per	Prep	135
	call	Verb	135
	6	Num	134
	board	NoC	134
	success	NoC	134
	1989	Num	134
	French	Adj	134
	following	Adj	134
	considered	Verb	134
	current	Adj	133
	everyone	Pron	133
	fire	NoC	133
	agreement	NoC	133
	please	Adv	133
	boy	NoC	133
	capital	NoC	133
	stood	Verb	133
	analysis	NoC	132
	whatever	DetP	132
	population	NoC	132
	20	Num	131
	modern	Adj	131
	theory	NoC	131
	books	NoC	131
	labour*	Adj	131
	stop	Verb	131
	in order	ClO	131
	legal	Adj	131
	Scotland	NoP	131
	material	NoC	131
	son	NoC	131
	received	Verb	130
	model	NoC	130
	chance	NoC	130
	environment	NoC	130
	finally	Adv	130
	performance	NoC	130
	sea	NoC	130
	rights	NoC	130
	growth	NoC	130
	authorities	NoC	130
	provided	Verb	130
	nice	Adj	129
	whom	Pron	129
	produced	Verb	129
	relationship	NoC	129
	talk	Verb	129
	turn	Verb	129
	built	Verb	129
	final	Adj	129
	east	NoC	128
	1991	Num	128
	talking	Verb	128
	fine	Adj	127
	worked	Verb	127
	west	NoC	127
	parties	NoC	127
	size	NoC	127
	record	NoC	126
	red	Adj	126
	close	Adj	126
	property	NoC	125
	myself	Pron	125
	gon~	Verb	125
	example	NoC	125
	space	NoC	125
	giving	Verb	125
	normal	Adj	124
	nor	Conj	124
	reached	Verb	124
	buy	Verb	124
	serious	Adj	124
	quickly	Adv	124
	Peter	NoP	124
	along	Prep	123
	plan	NoC	123
	behaviour	NoC	123
	France	NoP	123
	recently	Adv	123
	term	NoC	123
	previous	Adj	123
	couple	NoC	123
	included	Verb	123
	pounds	NoC	123
	anyway	Adv	122
	cup	NoC	122
	treatment	NoC	122
	energy	NoC	122
	total	Adj	122
	thank	Verb	122
	director	NoC	122
	12	Num	121
	prime	Adj	121
	levels	NoC	121
	significant	Adj	121
	issues	NoC	121
	sat	Verb	121
	income	NoC	120
	top	NoC	120
	choice	NoC	120
	away from	Prep	120
	costs	NoC	120
	design	NoC	119
	pressure	NoC	119
	scheme	NoC	119
	July	NoP	119
	change	Verb	119
	a bit	Adv	119
	list	NoC	118
	suddenly	Adv	118
	continue	Verb	118
	technology	NoC	118
	hall	NoC	118
	takes	Verb	118
	ones	NoC	118
	details	NoC	117
	happy	Adj	117
	consider	Verb	117
	won	Verb	117
	defence	NoC	116
	following	Verb	116
	parts	NoC	116
	loss	NoC	116
	industrial	Adj	116
	activities	NoC	116
	throughout	Prep	116
	spent	Verb	116
	outside	Prep	116
	teachers	NoC	116
	generally	Adv	116
	opened	Verb	115
	floor	NoC	115
	round	Prep	115
	activity	NoC	115
	hope	Verb	115
	points	NoC	115
	association	NoC	115
	nearly	Adv	115
	United	NoP-	115
	allow	Verb	115
	rates	NoC	115
	sun	NoC	115
	army	NoC	114
	sorry	Adj	114
	wall	NoC	114
	hotel	NoC	114
	forces	NoC	114
	contract	NoC	114
	dead	Adj	114
	30	Num	114
	Paul	NoP	114
	stay	Verb	114
	reported	Verb	114
	as well	Adv	113
	hour	NoC	113
	difference	NoC	113
	meant	Verb	113
	summer	NoC	113
	county	NoC	113
	specific	Adj	113
	numbers	NoC	113
	wide	Adj	113
	appropriate	Adj	113
	husband	NoC	112
	top	Adj	112
	played	Verb	112
	relations	NoC	112
	Dr	NoC	112		
	figures	NoC	112
	chairman	NoC	112
	set	NoC	112
	lower	Adj	111
	product	NoC	111
	colour	NoC	111
	ideas	NoC	111
	George	NoP	111
	St	NoP-	111
	look	NoC	110
	arms	NoC	110
	obviously	Adv	110
	unless	Conj	110
	produce	Verb	110
	changed	Verb	109
	season	NoC	109
	developed	Verb	109
	unit	NoC	109
	15	Num	109
	appear	Verb	109
	investment	NoC	109
	Soviet	Adj	109
	test	NoC	109
	basic	Adj	109
	write	Verb	109
	village	NoC	109
	reasons	NoC	108
	military	Adj	108
	original	Adj	108
	successful	Adj	108
	garden	NoC	108
	effects	NoC	108
	each other	Pron	108
	aware	Adj	108
	yourself	Pron	107
	exactly	Adv	107
	help	NoC	107
	suppose	Verb	107
	showed	Verb	107
	style	NoC	107
	7	Num	107
	employment	NoC	107
	passed	Verb	107
	appeared	Verb	107
	de*	NoP-	107	
	page	NoC	106
	hold	Verb	106
	suggested	Verb	106
	Germany	NoP	106
	continued	Verb	106
	October	NoP	106
	offered	Verb	106
	products	NoC	106
	popular	Adj	106
	science	NoC	106
	New	NoP-	106
	window	NoC	106
	expect	Verb	106
	hon.	Adj	105		
	beyond	Prep	105
	resources	NoC	105
	rules	NoC	105
	professional	Adj	105
	announced	Verb	105
	economy	NoC	105
	picture	NoC	105
	okay	Adv	105
	needs	NoC	105
	doctor	NoC	105
	maybe	Adv	105
	events	NoC	105
	a little	Adv	104
	direct	Adj	104
	gives	Verb	104
	advice	NoC	104
	running	Verb	104
	circumstances	NoC	104
	sales	NoC	104
	risk	NoC	104
	interests	NoC	104
	September	NoP	104
	dark	Adj	104
	event	NoC	104
	thousand	NoC	104
	involved	Verb	103
	written	Verb	103
	park	NoC	103
	1988	Num	103
	returned	Verb	103
	ensure	Verb	103
	America	NoP	103
	fish	NoC	103
	wish	Verb	103
	opportunity	NoC	103
	commission	NoC	102
	1992	Num	102
	oil	NoC	102
	sound	NoC	102
	ready	Adj	102
	lines	NoC	102
	shop	NoC	102
	looks	Verb	102
	James	NoP	102
	immediately	Adv	102
	worth	Prep	102
	in terms of	Prep	102
	college	NoC	102
	press	NoC	102
	January	NoP	102
	fell	Verb	101
	blood	NoC	101
	goods	NoC	101
	playing	Verb	101
	carry	Verb	101
	less	DetP	101
	film	NoC	101
	prices	NoC	101
	useful	Adj	101
	conference	NoC	101
	operation	NoC	100
	follows	Verb	100
	extent	NoC	100
	designed	Verb	100
	application	NoC	100
	station	NoC	100
	television	NoC	100
	access	NoC	100
	Richard	NoP	100
	response	NoC	100
	degree	NoC	100
	majority	NoC	100
	effective	Adj	99
	established	Verb	99
	wrote	Verb	99
	region	NoC	99
	green	Adj	99
	York	NoP	99
	ah	Int	99
	western	Adj	99
	traditional	Adj	99
	easily	Adv	99
	cold	Adj	99
	shows	Verb	99
	offer	Verb	99
	though	Adv	99
	statement	NoC	98
	Scottish	Adj	98
	published	Verb	98
	forms	NoC	98
	German	Adj	98
	down	Prep	98
	accept	Verb	98
	miles	NoC	98
	independent	Adj	98
	election	NoC	98
	support	Verb	97
	8	Num	97
	importance	NoC	97
	lady	NoC	97
	site	NoC	97
	jobs	NoC	97
	needs	Verb	97
	plans	NoC	97
	earth	NoC	97
	earlier	Adv	97
	title	NoC	97
	parliament	NoC	97
	standards	NoC	96
	leaving	Verb	96
	interesting	Adj	96
	houses	NoC	96
	planning	NoC	96
	considerable	Adj	96
	girls	NoC	96
	involved	Adj	96
	Ireland	NoP	96
	increase	NoC	96
	species	NoC	96
	stopped	Verb	96
	concern	NoC	96
	public	NoC	96
	means	NoC	96
	caused	Verb	96
	raised	Verb	95
	through	Adv	95
	glass	NoC	95
	physical	Adj	95
	thought	NoC	95
	Michael	NoP	95
	eye	NoC	95
	left	Adj	95
	heavy	Adj	94
	walked	Verb	94
	daughter	NoC	94
	existing	Adj	94
	competition	NoC	94
	speak	Verb	94
	responsible	Adj	94
	up to	Adv	94
	river	NoC	94
	follow	Verb	94
	software	NoC	94
	complete	Adj	94
	above	Adv	94
	November	NoP	94
	December	NoP	94
	purpose	NoC	93
	mouth	NoC	93
	medical	Adj	93
	responsibility	NoC	93
	Sunday	NoP	93
	Wales	NoP	93
	leader	NoC	93
	tomorrow	Adv	93
	piece	NoC	92
	11	Num	92
	thirty	Num	92
	lay	Verb	92
	officer	NoC	92
	task	NoC	92
	blue	Adj	92
	on to	Prep	92
	answer	NoC	92
	stand	Verb	92
	thinking	Verb	92
	extra	Adj	92
	highly	Adv	91
	places	NoC	91
	arm	NoC	91
	eventually	Adv	91
	campaign	NoC	91
	ability	NoC	91
	appeal	NoC	91
	whole	NoC	91
	Charles	NoP	91
	skills	NoC	91
	opposition	NoC	91
	remained	Verb	91
	pattern	NoC	91
	method	NoC	91
	miss*	NoC	91
	hot	Adj	91
	lead	Verb	91
	source	NoC	91
	bought	Verb	91
	baby	NoC	91
	lack	NoC	90
	once	Conj	90
	bill	NoC	90
	division	NoC	90
	remain	Verb	90
	surface	NoC	90
	older	Adj	90
	charge	NoC	90
	methods	NoC	89
	trouble	NoC	89
	fully	Adv	89
	equipment	NoC	89
	moving	Verb	89
	suggest	Verb	89
	disease	NoC	89
	officers	NoC	89
	past	Adj	89
	peace	NoC	89
	male	Adj	89
	slightly	Adv	89
	demand	NoC	89
	failed	Verb	89
	wants	Verb	89
	attempt	NoC	89
	types	NoC	89
	Christmas	NoC	88
	hit	Verb	88
	post	NoC	88
	policies	NoC	88
	hardly	Adv	88
	ii	Num	88
	arrived	Verb	88
	no longer	Adv	88
	compared	Verb	88
	below	Adv	88
	otherwise	Adv	88
	windows	NoC	88
	West	NoP-	88
	deal	NoC	88
	directly	Adv	88
	interested	Adj	88
	sale	NoC	88
	like	Adv	88
	firm	NoC	88
	status	NoC	88
	happen	Verb	88
	box	NoC	88
	even if	Conj	87
	teacher	NoC	87
	radio	NoC	87
	provision	NoC	87
	variety	NoC	87
	show	NoC	87
	ran	Verb	87
	sector	NoC	87
	return	NoC	87
	factors	NoC	87
	essential	Adj	87
	direction	NoC	87
	beautiful	Adj	87
	civil	Adj	87
	base	NoC	86
	waiting	Verb	86
	caught	Verb	86
	sit	Verb	86
	develop	Verb	86
	character	NoC	86
	safety	NoC	86
	placed	Verb	86
	past	NoC	86
	completely	Adv	86
	tea	NoC	86
	introduced	Verb	86
	killed	Verb	86
	love	Verb	86
	mum	NoC	86
	I / i	Num	86		
	context	NoC	86
	fifty	Num	86
	primary	Adj	86
	animals	NoC	86
	culture	NoC	86
	Oxford	NoP	86
	brother	NoC	85
	obvious	Adj	85
	weight	NoC	85
	discussion	NoC	85
	created	Verb	85
	1987	Num	85
	future	Adj	85
	other	NoC	85		
	start	NoC	85
	States	NoP-	85
	none	Pron	84
	sold	Verb	84
	let's	Verb	84
	machine	NoC	84
	afternoon	NoC	84
	knows	Verb	84
	environmental	Adj	84
	fair	Adj	84
	William	NoP	84
	February	NoP	84
	provides	Verb	84
	wait	Verb	84
	league	NoC	83
	trees	NoC	83
	positive	Adj	83
	organisation	NoC	83
	win	Verb	83
	condition	NoC	83
	families	NoC	83
	argument	NoC	83
	sex	NoC	83
	Saturday	NoP	83
	learn	Verb	83
	up	Prep	83
	normally	Adv	83
	claimed	Verb	83
	truth	NoC	83
	senior	Adj	82
	kitchen	NoC	82
	works	NoC	82
	add	Verb	82
	lived	Verb	82
	library	NoC	82
	minute	NoC	82
	believed	Verb	82
	enough	DetP	82
	transport	NoC	82
	share	NoC	82
	principle	NoC	82
	create	Verb	82
	agree	Verb	82
	born	Verb	82
	players	NoC	82
	cash	NoC	82
	exchange	NoC	82
	rule	NoC	82
	budget	NoC	82
	turn	NoC	81
	pupils	NoC	81
	nuclear	Adj	81
	sitting	Verb	81
	version	NoC	81
	English	NoC	81
	best	Adv	81
	no one*	Pron	81
	features	NoC	81
	18	Num	81
	duty	NoC	81
	annual	Adj	81
	balance	NoC	81
	16	Num	81
	front	NoC	81
	send	Verb	80
	boys	NoC	80
	presence	NoC	80
	protection	NoC	80
	dog	NoC	80
	courses	NoC	80
	individuals	NoC	80
	matters	NoC	80
	media	NoC	80
	avoid	Verb	80
	influence	NoC	80
	9	Num	80
	presented	Verb	80
	14	Num	80
	speaker	NoC	80
	stone	NoC	79
	relevant	Adj	79
	apply	Verb	79
	August	NoP	79
	explain	Verb	79
	deep	Adj	79
	Robert	NoP	79
	1986	Num	79
	achieved	Verb	79
	slowly	Adv	79
	relatively	Adv	79
	P / p	Lett	79		
	shares	NoC	79
	letters	NoC	79
	finished	Verb	79
	survey	NoC	79
	huge	Adj	79
	accepted	Verb	79
	covered	Verb	79
	review	NoC	79
	Smith	NoP	79
	closed	Verb	79
	form	Verb	79
	marriage	NoC	79
	commercial	Adj	79
	aid	NoC	78
	lives	NoC	78
	collection	NoC	78
	living	Verb	78
	speech	NoC	78
	Africa	NoP	78
	regional	Adj	78
	differences	NoC	78
	benefit	NoC	78
	apparently	Adv	78
	effort	NoC	78
	gets	Verb	78
	executive	NoC	78
	due to	Prep	78
	later	Adj	78
	latter	DetP	78
	function	NoC	78
	failure	NoC	78
	return	Verb	78
	chair	NoC	77
	reference	NoC	77
	horse	NoC	77
	becomes	Verb	77
	attack	NoC	77
	reports	NoC	77
	practical	Adj	77
	queen	NoC	77
	25	Num	77
	subjects	NoC	77
	career	NoC	77
	bar	NoC	77
	official	Adj	77
	text	NoC	77
	appears	Verb	77
	separate	Adj	77
	student	NoC	77
	names	NoC	76
	sell	Verb	76
	holiday	NoC	76
	larger	Adj	76
	cells	NoC	76
	open	Verb	76
	progress	NoC	76
	early	Adv	76
	states	NoC	76
	helped	Verb	76
	visit	NoC	76
	smiled	Verb	76
	stock	NoC	76
	memory	NoC	76
	merely	Adv	76
	studio	NoC	76
	13	Num	76
	key	Adj	76
	putting	Verb	76
	eat	Verb	75
	opinion	NoC	75
	understanding	NoC	75
	regular	Adj	75
	decisions	NoC	75
	chief	Adj	75
	drawn	Verb	75
	firms	NoC	75
	remains	Verb	75
	facilities	NoC	75
	values	NoC	75
	district	NoC	75
	cars	NoC	75
	due	Adj	75
	mhm	Int	75
	begin	Verb	75
	managed	Verb	75
	receive	Verb	75
